SYMBOL,NAME,INDUSTRY,MARKET_CAP
AMTD,AMTD International,Asset Management,3417552382
AMTI,Applied Molecular Transport,Biotechnology,76245176
AMTX,Aemetis,"Oil, Gas & Consumable Fuels",368667550
AMWD,American Woodmark,Building Products,860544096
AMWL,American Well,Health Information Services,1370575740
AMX,America Movil,Wireless Telecommunication Services,61329096693
AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,503147680
AMZN,Amazon.com,Internet & Direct Marketing Retail,1.43238E+12
AN,AutoNation,Specialty Retail,6933008776
ANAB,AnaptysBio,Biotechnology,705980025
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,390964566
ANDE,The Andersons,Food & Staples Retailing,1305676265
ANEB,Anebulo Pharmaceuticals,Biotechnology,105751038
ANET,Arista Networks,Communications Equipment,38729019378
ANF,Abercrombie & Fitch Company,Specialty Retail,974634108
ANGH,Anghami,Entertainment,80357606
ANGI,Angi Inc.,Interactive Media & Services,2536822014
ANGN,Angion Biomedica,Biotechnology,30857564
ANGO,AngioDynamics,Health Care Equipment & Supplies,946973357
ANIK,Anika Therapeutics,Biotechnology,317401804
ANIP,ANI Pharmaceuticals,Pharmaceuticals,616706104
ANIX,Anixa Biosciences,Biotechnology,118836903
ANNX,Annexon,Biotechnology,267611468
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,9304690
ANSS,ANSYS,Software,24391427859
ANTE,AirNet Technology,Media,35341323
ANVS,Annovis Bio,Biotechnology,99109988
ANY,Sphere 3D,Software,50555047
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,522218750
AOMR,Angel Oak Mortgage,REIT-Mortgage,380889144
AON,Aon plc,Insurance,62579634049
AORT,Artivion,Medical Devices,877278336
AOS,A. O. Smith,Building Products,9640643535
AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,1104665444
AOUT,American Outdoor Brands,Leisure Products,118520049
AP,Ampco-Pittsburgh,Metals & Mining,84987334
APA,APA Corporation,"Oil, Gas & Consumable Fuels",11376305130
APAC,Stonebridge Acquisition,Blank Check / SPAC,250500000
APAM,Artisan Partners Asset Management,Capital Markets,2586625260
APCX,AppTech Payments,Software-Infrastructure,11597202
APD,Air Products & Chemicals,Chemicals,58734595838
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",53347299
APEI,American Public Education,Diversified Consumer Services,234651054
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,266903439
APG,APi Group,Construction & Engineering,4126058238
APGB,Apollo Strategic Growth Capital II,Shell Companies,851287480
APGN,Apexigen,Biotechnology,163625357
APH,Amphenol,"Electronic Equipment, Instruments & C...",46331154399
API,Agora,"Electronic Equipment, Instruments & C...",593259520
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,3840572923
APLS,Apellis Pharmaceuticals,Biotechnology,7191762899
APLT,Applied Therapeutics,Biotechnology,34895079
APM,Aptorum Group,Biotechnology,56054182
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,182250000
APN,Apeiron Capital Investment,Blank Check / SPAC,216271864
APO,Apollo Global Management,Capital Markets,36534001644
APOG,Apogee Enterprises,Building Products,962934528
APP,AppLovin,Software-Application,13027465194
APPF,AppFolio,Software,3849409980
APPH,AppHarvest,Food Products,345194880
APPN,Appian,Software,3854329306
APPS,Digital Turbine,Software,2264497643
APRE,Aprea Therapeutics,Biotechnology,23130471
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,126477552
APT,Alpha Pro Tech,Building Products,57639943
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,352368840
APTO,Aptose Biosciences,Biotechnology,77066071
APTV,Aptiv,Auto Components,29431449508
APTX,Aptinyx,Biotechnology,40629420
APVO,Aptevo Therapeutics,Biotechnology,22031856
APWC,Asia Pacific Wire & Cable,Electrical Equipment,29481164
APXI,APx Acquisition I,Blank Check / SPAC,216487499
APYX,Apyx Medical,Health Care Equipment & Supplies,354383447
AQB,AquaBounty Technologies,Biotechnology,102399415
AQMS,Aqua Metals,Commercial Services & Supplies,76949600
AQN,Algonquin Power & Utilities,Multi-Utilities,9775685619
AQST,Aquestive Therapeutics,Pharmaceuticals,74157471
AQUA,Evoqua Water Technologies,Machinery,4776868840
AR,Antero Resources,"Oil, Gas & Consumable Fuels",12339657696
